city,district,neighborhood,square_meter,gold_gr,type,total_gold
İstanbul,Silivri,Çeltik Mah.,15607.0,0.3783449662594885,2,5904.829888411837
İstanbul,Pendik,Sülüntepe Mah.,350.0,4.124008176033664,1,1443.4028616117823
İstanbul,Şile,Kumbaba Mah.,719.0,7.847556334467902,3,5642.393004482422
İstanbul,Silivri,Hürriyet Mah.,2219.0,2.1288255568857455,3,4723.863910729469
İstanbul,Şile,Kurfallı Mah.,7100.0,0.5544441209776372,2,3936.553258941224
İstanbul,Beykoz,Rüzgarlıbahçe Mah.,360.0,21.869740327451247,3,7873.106517882449
İstanbul,Küçükçekmece,İnönü Mah.,134.0,13.611465248577865,3,1823.9363433094338
İstanbul,Silivri,Balaban Mah.,516.0,1.0934870163725625,1,564.2393004482423
İstanbul,Esenyurt,Atatürk Mah.,121.0,7.808039521866892,1,944.7727821458939
İstanbul,Çatalca,Kabakça Mah.,502.0,1.7513218349871318,2,879.1635611635402
İstanbul,Küçükçekmece,Cumhuriyet Mah.,212.0,13.61700812841304,3,2886.8057232235647
İstanbul,Ümraniye,Şerifali Mah.,427.0,22.740432565312304,3,9710.164705388353
İstanbul,Silivri,İsmetpaşa Mah.,447.0,0.8806606843268959,2,393.6553258941225
İstanbul,Silivri,Kadıköy Mah.,740.0,0.7092888754849053,2,524.8737678588299
İstanbul,Çatalca,Çiftlikköy Mah.,350.0,1.6870942538319533,2,590.4829888411837
İstanbul,Arnavutköy,Bolluca Mah.,595.0,5.557486953799375,3,3306.7047375106285
İstanbul,Çatalca,Kestanelik Mah.,3548.0,1.4053835385171602,2,4986.300794658884
İstanbul,Silivri,Balaban Mah.,300.0,1.7495792261960998,3,524.87376785883
İstanbul,Çatalca,Kabakça Mah.,175.0,1.6496032704134653,3,288.68057232235645
İstanbul,Tuzla,Aydınlı Mah.,222.0,13.59470344679402,0,3018.0241651882725
İstanbul,Ümraniye,Yenişehir Mah.,319.0,51.00654170414962,0,16271.086803623728
İstanbul,Ataşehir,Küçükbakkalköy Mah.,174.0,23.604236974111174,3,4107.137233495344
İstanbul,Maltepe,Gülsuyu Mah.,250.0,5.353712432160066,3,1338.4281080400165
İstanbul,Sarıyer,Kocataş Mah.,640.0,10.866527225202338,1,6954.577424129497
